,title,location,price,bedroom,bathroom,area
0,barangka ilaya mandaluyong city nea edsa and boni avenue,"Barangka Ilaya, Mandaluyong","₱ 450,000",21,21,5 m²
1,Bed Space for Males Available in Mandaluyong City,"Boni Avenue, Mandaluyong","₱ 3,700",1,1,30 m²
2,Room for Rent,"Guadalupe Nuevo, Makati","₱ 10,000",1,1, 
3,Apartment Unit for Rent 50sqm Floor Area at Manila,"San Miguel, Manila","₱ 25,000",1,1,50 m²
4,2 Bedroom Apartment with Loft for rent,"Valencia, Quezon City","₱ 21,000",2,1,70 m²
5,Female condosharing / bedspace in bgc near sharila hotel,"Fort Bonifacio, Taguig","₱ 8,999",1,1,154 m²
6,Room Studio Type For Rent,"Manggahan, Pasig","₱ 5,000",1,1,13 m²
7,Room for rent near Anonas LRT-Station FOR LADIES ONLY,"Quirino 2-A, Quezon City","₱ 7,000",1,2,100 m²
8,Studio type Room sharing Female Only,"Rosario, Pasig","₱ 2,500",1,1, 
9,"Room Rental/Bedspace in Cubao, Quezon City","Cubao, Quezon City","₱ 4,500",1,1, 
10,Studio Aircon unit near Ayala Circuit & RCBC Plaza,"Carmona, Makati","₱ 11,000",1,1,22 m²
11,For Rent Apartment in Caloocan,"Bagong Silang, Caloocan","₱ 10,000",2,1, 
12,Male Condo/sharing,"Pio Del Pilar, Makati","₱ 3,500",1,1, 
13,"Studio type apartment for rent Sta. Mesa, Manila","Santa Mesa, Manila","₱ 9,000",1,1, 
14,"Bedspace For Male in Malamig, Mandaluyong City","Malamig, Mandaluyong","₱ 2,500",1,1, 
15,"2 Bedroom Apartment unit for rent in Cubao, Quezon City","Cubao, Quezon City","₱ 16,900",2,1, 
16,"2 bedroom apartment with maids quarters in the center of Makati, Saucedo Village","Salcedo Village, Makati","₱ 60,000",2,3,110 m²
17,Apartment for rent at Villa Rebecca Townhomes 3,"Tandang Sora, Quezon City","₱ 7,500",1,1,50 m²
18,Quezon City Apartment for Rent,Quezon City,"₱ 25,000",3,2, 
19,Bedspace near UBelt and Pureza LRT 2 Station for Rent,"Santa Mesa, Manila","₱ 3,000",1,1, 
20,2 Beds Capacity Room,"Santa Mesa, Manila","₱ 4,500",1,1,9 m²
21,For Rent Studio unit in Pine Crest Aurora Boulevard corner Balete Drive,"Horseshoe, Quezon City","₱ 15,000",1,1,28 m²
22,Studio Type and 1 Bedroom Units for Rent,"Don Manuel, Quezon City","₱ 10,000",1,1,30 m²
23,2BR Condo rent in Manila Rivercity,"Santa Ana, Manila","₱ 15,000",2,1,30 m²
24,4 storey bldg. in Baclaran for lease,"Baclaran, Parañaque","₱ 700,000",16,16,598 m²
25,"Airport Suite NAIA 1 in Manila Airport for rent in Vitalez, Parañaque","Vitalez, Parañaque","₱ 35,000",1,1, 
26,"Studio type Room for rent near Frisco, Roosevelt, Munoz","Del Monte, Quezon City","₱ 6,000",1,1,18 m²
27,Modern Makati Apartment Building FOR RENT,"San Antonio, Makati",Contact agent,56,56,2500 m²
28,"New 1BR apartment units for rent (near BGC, Ortigas, and Makati)","Santo Rosario-Kanluran, Pateros","₱ 9,500",1,1,25 m²
29,"Studio Room Congressional/Shorthorn Near LRT, MRT, SM, Trinoma","Congressional Avenue, Quezon City","₱ 5,500",1,1,20 m²
30,Studio Type Apartment for rent,"Caniogan, Pasig","₱ 6,500",1,1,20 m²
31,"Studio Unit For Rent at  Brgy. Plainview, Mandaluyong City","Plainview, Mandaluyong","₱ 7,000",1,1,20 m²
32,For Rent: 1-Bedroom Apartment in Quezon City,"Doña Imelda, Quezon City","₱ 8,000",1,1,35 m²
33,1 Queen sized-bed w/ walk in closet and bathroom,"Laging Handa, Quezon City","₱ 30,000",1,1,28 m²
34,Studio Units in Apartment Building for rent,"M. Dela Cruz, Pasay",Contact agent,1,1, 
35,FOR RENT:  Furnished 1BR Apartment for LADIES in Taguig,"Western Bicutan, Taguig","₱ 12,500",1,1, 
36,Bed Space for Rent in Condominium Unit near Robinson Forum Mall,"Kapitolyo, Pasig","₱ 5,600",1,1,30 m²
37,2 Bedroom 1 T&B Sta. Lucia QC,"Santa Lucia, Quezon City","₱ 12,000",2,1,50 m²
38,1 Bedroom Apartment With CR and Kitchen,"Olympia, Makati","₱ 10,000",1,1, 
39,"Privacy Female Dormitories in Makati, Near BGC, Ayala","Comembo, Makati","₱ 3,250",1,2, 
40,Bedspace for rent inside BGC Fort Global City and Mckinley Hill,"Fort Bonifacio, Taguig","₱ 5,500",1,1,48 m²
41,big solo room with balcony now available,"Bangkal, Makati","₱ 8,000",1,1,12 m²
42,1br - apartment for ladies only,"Highway Hills, Mandaluyong","₱ 10,000",1,1, 
43,Female Bedspace near Makati Medical Center and Ayala (Fiber Internet),"Pio Del Pilar, Makati","₱ 2,400",3,3,20 m²
