Description,Type,location,City,price,bedroom,bathroom,floor_area
2-storey apartment for rent,Apartment,Aniban I, Bacoor,18000,2,2,100
"Room For Rent Near Monumento, Caloocan",Room,Grace Park East, Caloocan,5000,1,1,12
"Studio Type Room for rent at Brgy. 97 Grace Park East, Caloocan City",Room,Grace Park East, Caloocan,3500,1,1,20
"Apartment for rent in Camarin, Caloocan",Apartment,Camarin, Caloocan,5500,1,1,20
Apartment for Lease in Caloocan,Apartment,Biglang-Awa, Caloocan,10000,1,1,23
"1 Bedroom Loft Type Apartment For Rent in Grace Park East, Caloocan City",Apartment,Grace Park East, Caloocan,9000,1,1,30
"Apartment For Rent at Caloocan, Metro Manila",Apartment,Grace Park East, Caloocan,8000,1,1,30
Apartment for rent in Caloocan,Apartment,Grace Park East, Caloocan,8000,1,1,55
Apartment for rent in caloocan,Apartment,Amparo, Caloocan,8000,1,1,59
Apartment for rent in caloocan,Apartment,Grace Park West, Caloocan,8000,1,1,59
Apartment for rent in caloocan,Apartment,Grace Park East, Caloocan,8000,1,1,59
"Apartment unit for rent in Grace Park East, Caloocan city, Metro Manila",Apartment,Grace Park East, Caloocan,8000,1,1,59
Fully Furnished Secure Apartment with 1 Parking Space,Apartment,Maypajo, Caloocan,18500,1,1,68
"Apartment for Rent in Bagong Silang, Caloocan City",Apartment,Bagong Silang, Caloocan,4000,1,1,600
"Commercial Space / Studio Apartment for Rent in Bagumbong, Caloocan City",Apartment,Bagumbong, Caloocan,7500,1,1,0
Bedspace for Ladies Only (South Caloocan),Bedspace,Sangandaan, Caloocan,3500,1,1,0
"Lady Bedspacer, Caloocan City",Bedspace,Grace Park West, Caloocan,1500,1,1,0
Lady Bedspacer Deparo Caloocan,Bedspace,Deparo, Caloocan,1600,1,1,0
Studio Apartment Across UE STI Caloocan for rent in Caloocan City,Apartment,University Hills Subdivision, Caloocan,7500,1,1,0
Room for Rent studio type with metal loaf bed,Room,Talipapa, Caloocan,7000,1,1,0
"Unfurnished 2BR Unit in 5-Storey Residential Building for Rent, Caloocan City",Building,Grace Park East, Caloocan,15000,2,1,60
"Large 2 bedroom for Rent in East Grace Park, Caloocan",Room,Grace Park East, Caloocan,15000,2,1,60
New 4 Units Apartment for Rent SM Fairview & Ayala Land Terraces Q.C.,Apartment,Camarin, Caloocan,16000,2,1,60
For Rent Apartment in Caloocan,Apartment,Bagong Silang, Caloocan,10000,2,1,0
"Bedspace for Female at Camarin, Caloocan",Bedspace,Camarin, Caloocan,3000,2,1,0
Male bedspace for rent,Bedspace,C-3 Road  Kaunlaran Village, Caloocan,1800,1,2,40
Bedspace for Rent,Bedspace,C-3 Road  Kaunlaran Village, Caloocan,1999,2,2,35
Male bedspace for rent in Caloocan South area,Bedspace,Bagong Silang, Caloocan,2000,2,2,300
Bedspace for Rent in Capitol Park Homes 2,Bedspace,Camarin, Caloocan,2000,5,2,0
For RENT: 2 Bedroom Flat Type Apartment,Apartment,Baesa, Caloocan,7000,2,0,26
1 Bedroom Apartment with partial furnishings,Apartment,Talon Tres, Las Pinas,3300,1,1,8
BF Resort Village Solo Room for rent ( For Local Female Only ),Room,Talon Dos, Las Pinas,5500,1,1,10
Solo Room for Rent at BF Resort Village Las Pinas,Room,Talon Dos, Las Pinas,5500,1,1,10
BF Resort Village Solo Room for Local Female For Rent,Room,Talon Dos, Las Pinas,5500,1,1,10
BF Resort Village Solo Room for Local Female For Rent,Room,Talon Dos, Las Pinas,5500,1,1,10
Solo Room for Rent at BF Resort Village Las Pinas,Room,Talon Dos, Las Pinas,5500,1,1,10
BF Resort Village Solo Room for rent ( For Local Female Only ),Room,Talon Dos, Las Pinas,5500,1,1,10
Studio Type Apartment in Alabang for Rent,Apartment,Almanza Dos, Las Pinas,8000,1,1,11
"Fully furnished rooms with FREE WiFi for only P7,500! Move In now!",Room,Almanza Dos, Las Pinas,7500,1,1,11
BFRV Solo Room for Female ( Locals Only ),Room,Talon Dos, Las Pinas,5500,1,1,12
Apartment For Rent Las Pinas Almanza Uno Alabang-Zapote Road near SM Southmall,Apartment,Almanza Uno, Las Pinas,5000,1,1,12
BFRV Solo Room for Female ( Locals Only ),Room,Talon Dos, Las Pinas,5500,1,1,12
"Bedspace for Ladies, Las Pinas",Bedspace,, Las Pinas,2500,1,1,13
"Orange Suites Serviced Apartments  Almanza Dos, Las Pinas City",Apartment,Almanza Dos, Las Pinas,8000,1,1,14
Solo Room with Free Internet,Room,Pamplona Tres, Las Pinas,7500,1,1,14
Room for Rent Las Pinas,Room,Pamplona Tres, Las Pinas,5000,1,1,15
Las Pinas Studio Apartment For Rent,Apartment,Talon Singko, Las Pinas,5500,1,1,15
Las Pinas Studio Apartment For Rent,Apartment,Talon Singko, Las Pinas,5500,1,1,15
Studio Unit for Young Couples in Las Pinas City,Apartment,Talon Dos, Las Pinas,6500,1,1,16
Studio Unit for Young Couples in Las Pinas City,Apartment,Talon Dos, Las Pinas,6500,1,1,16
Apartment studio type las pinas,Apartment,Pamplona Dos, Las Pinas,9000,1,1,18
Studio type Apartment Las Pinas,Apartment,Pamplona Dos, Las Pinas,8000,1,1,18
Apartment studio type for rent at Pamplona park subdivision,Apartment,Pamplona Dos, Las Pinas,10000,1,1,18
Apartment studio type for rent at Pamplona park subdivision,Apartment,Pamplona Dos, Las Pinas,10000,1,1,18
Apartment studio type las pinas,Apartment,Pamplona Dos, Las Pinas,9000,1,1,18
Studio type Apartment Las Pinas,Apartment,Pamplona Dos, Las Pinas,8000,1,1,18
"Studio Type Apartment located along Pamplona Tres, Las Pinas City",Apartment,Pamplona Tres, Las Pinas,7000,1,1,19
Apartment studio type for rent,Apartment,Pamplona Dos, Las Pinas,9000,1,1,20
Apartment studio type for rent,Apartment,Pamplona Dos, Las Pinas,9000,1,1,20
"For Rent: Unit D- Studio Type Apartment Complex in Pamplona Tres, Las Pinas City",Apartment,Pamplona Tres, Las Pinas,10000,1,1,24
"For Rent: Unit E- Studio Type Apartment Complex in Pamplona Tres, Las Pinas City",Apartment,Pamplona Tres, Las Pinas,10000,1,1,24
"For Rent: Unit F- Studio Type Apartment Complex in Pamplona Tres, Las Pinas City",Apartment,Pamplona Tres, Las Pinas,10000,1,1,24
"For Rent: Unit C- Studio Type Apartment Complex in Pamplona Tres, Las Pinas City",Apartment,Pamplona Tres, Las Pinas,10000,1,1,24
"For Rent: Unit B- Studio Type Apartment Complex in Pamplona Tres, Las Pinas City",Apartment,Pamplona Tres, Las Pinas,10000,1,1,24
"1 Bedroom Unit Apartment for Rent at Pulang Lupa Dos, Las Pinas",Apartment,Pulang Lupa Dos, Las Pinas,6000,1,1,25
"1 Bedroom Apartment in Sta. Cecilia Village, Las Pinas",Apartment,Talon Dos, Las Pinas,10500,1,1,30
"Room for rent furnished in in Pulang Lupa Dos, Las Pinas City",Room,Pulang Lupa Dos, Las Pinas,8000,1,1,30
Flood-Free Apartment for Rent in Las Pinas,Apartment,Almanza Uno, Las Pinas,12000,1,1,32
"Studio Unit - 2C for lease at Pilar Village, Las Pinas",Apartment,Pilar, Las Pinas,16000,1,1,32
"Studio Room for Rent, Las Pinas",Room,B.F. International Village, Las Pinas,6500,1,1,35
"1 Bedroom Unit near SM Southmall, Doña Josefa Vill, Alabang Town Center for rent",Room,Almanza Uno, Las Pinas,8000,1,1,37
Alabang Dormitory : First Month Free near ATC & Northgate,Dormitory,Almanza Dos, Las Pinas,5300,1,1,40
"For Rent Lady Bedspace at BFRV Talon Dos, Las Pinas City",Bedspace,Talon Dos, Las Pinas,4500,1,1,50
"For Rent Lady Bedspace at BFRV Talon Dos, Las Pinas City",Bedspace,Talon Dos, Las Pinas,4500,1,1,50
